precedingChord,followingChord,partType,frequency
http://purl.org/ontology/mpo/alternative_7922_Amin_25,http://purl.org/ontology/mpo/alternative_7922_C7_27,http://purl.org/ontology/mpo/Verse,38
http://purl.org/ontology/mpo/alternative_7922_Amin_7,http://purl.org/ontology/mpo/alternative_7922_C7_9,http://purl.org/ontology/mpo/Intro,38
http://purl.org/ontology/mpo/alternative_258197_Cadd9_110,http://purl.org/ontology/mpo/alternative_258197_Cadd9_112,http://purl.org/ontology/mpo/Chorus,38
http://purl.org/ontology/mpo/pop_21692_F_161,http://purl.org/ontology/mpo/pop_21692_Emin_163,http://purl.org/ontology/mpo/Bridge,38
http://purl.org/ontology/mpo/alternative_225725_Emin_184,http://purl.org/ontology/mpo/alternative_225725_G_186,http://purl.org/ontology/mpo/Verse,38
http://purl.org/ontology/mpo/alternative_225725_Emin_18,http://purl.org/ontology/mpo/alternative_225725_G_20,http://purl.org/ontology/mpo/Verse,38
http://purl.org/ontology/mpo/alternative_225725_Emin_108,http://purl.org/ontology/mpo/alternative_225725_G_110,http://purl.org/ontology/mpo/Verse,38
http://purl.org/ontology/mpo/soul_622217_Gmin_139,http://purl.org/ontology/mpo/soul_622217_F_141,http://purl.org/ontology/mpo/Outro,38
http://purl.org/ontology/mpo/pop_rock_158951_F_249,http://purl.org/ontology/mpo/pop_rock_158951_D_251,http://purl.org/ontology/mpo/Outro,38
http://purl.org/ontology/mpo/metal_327823_As_160,http://purl.org/ontology/mpo/metal_327823_As_162,http://purl.org/ontology/mpo/Chorus,38
http://purl.org/ontology/mpo/metal_327823_As_24,http://purl.org/ontology/mpo/metal_327823_As_26,http://purl.org/ontology/mpo/Chorus,38
http://purl.org/ontology/mpo/metal_327823_As_92,http://purl.org/ontology/mpo/metal_327823_As_94,http://purl.org/ontology/mpo/Chorus,38
http://purl.org/ontology/mpo/metal_358426_Cmin_241,http://purl.org/ontology/mpo/metal_358426_Db_243,http://purl.org/ontology/mpo/Solo,38
http://purl.org/ontology/mpo/metal_8408_Csmin_173,http://purl.org/ontology/mpo/metal_8408_Csmin_175,http://purl.org/ontology/mpo/Chorus,37
http://purl.org/ontology/mpo/alternative_258197_D_35,http://purl.org/ontology/mpo/alternative_258197_D_37,http://purl.org/ontology/mpo/Verse,37
http://purl.org/ontology/mpo/country_188571_F_126,http://purl.org/ontology/mpo/country_188571_F_128,http://purl.org/ontology/mpo/Verse,37
http://purl.org/ontology/mpo/rock_242021_G_293,http://purl.org/ontology/mpo/rock_242021_B_295,http://purl.org/ontology/mpo/Outro,36
http://purl.org/ontology/mpo/metal_344294_Dmin_158,http://purl.org/ontology/mpo/metal_344294_Dmin_160,http://purl.org/ontology/mpo/Solo,36
http://purl.org/ontology/mpo/pop_272688_Emin_1,http://purl.org/ontology/mpo/pop_272688_D_3,http://purl.org/ontology/mpo/Intro,36
http://purl.org/ontology/mpo/pop_272688_Emin_177,http://purl.org/ontology/mpo/pop_272688_D_179,http://purl.org/ontology/mpo/Chorus,36
http://purl.org/ontology/mpo/pop_rock_158951_F_189,http://purl.org/ontology/mpo/pop_rock_158951_D_191,http://purl.org/ontology/mpo/Verse,35
http://purl.org/ontology/mpo/pop_rock_158951_G_247,http://purl.org/ontology/mpo/pop_rock_158951_F_249,http://purl.org/ontology/mpo/Outro,35
http://purl.org/ontology/mpo/pop_rock_238326_F_146,http://purl.org/ontology/mpo/pop_rock_238326_Emin_148,http://purl.org/ontology/mpo/Verse,35
http://purl.org/ontology/mpo/reggae_626906_Emin_119,http://purl.org/ontology/mpo/reggae_626906_Dmin7_121,http://purl.org/ontology/mpo/Verse,35
http://purl.org/ontology/mpo/reggae_626906_Emin_149,http://purl.org/ontology/mpo/reggae_626906_Dmin7_151,http://purl.org/ontology/mpo/Chorus,35
http://purl.org/ontology/mpo/soul_616623_C7_185,http://purl.org/ontology/mpo/soul_616623_Bb_187,http://purl.org/ontology/mpo/Chorus,35
http://purl.org/ontology/mpo/soul_616623_Bb_130,http://purl.org/ontology/mpo/soul_616623_F_132,http://purl.org/ontology/mpo/Bridge,35
http://purl.org/ontology/mpo/soul_616623_C7_33,http://purl.org/ontology/mpo/soul_616623_Bb_35,http://purl.org/ontology/mpo/Chorus,35
http://purl.org/ontology/mpo/country_193718_G_75,http://purl.org/ontology/mpo/country_193718_G_77,http://purl.org/ontology/mpo/Verse,35
http://purl.org/ontology/mpo/rock_68556_Bb_136,http://purl.org/ontology/mpo/rock_68556_Bb_138,http://purl.org/ontology/mpo/Verse,34
http://purl.org/ontology/mpo/alternative_258197_Cadd9_223,http://purl.org/ontology/mpo/alternative_258197_Cadd9_225,http://purl.org/ontology/mpo/Outro,34
http://purl.org/ontology/mpo/metal_368041_Amin_51,http://purl.org/ontology/mpo/metal_368041_Emin_53,http://purl.org/ontology/mpo/Verse,34
http://purl.org/ontology/mpo/metal_601039_Amin_156,http://purl.org/ontology/mpo/metal_601039_G_158,http://purl.org/ontology/mpo/Bridge,34
http://purl.org/ontology/mpo/metal_601039_Amin_189,http://purl.org/ontology/mpo/metal_601039_G_191,http://purl.org/ontology/mpo/Verse,34
http://purl.org/ontology/mpo/rock_163268_F_223,http://purl.org/ontology/mpo/rock_163268_Dmin_225,http://purl.org/ontology/mpo/Bridge,34
http://purl.org/ontology/mpo/country_188571_G_137,http://purl.org/ontology/mpo/country_188571_F_139,http://purl.org/ontology/mpo/Verse,34
http://purl.org/ontology/mpo/reggae_71058_Amin7_107,http://purl.org/ontology/mpo/reggae_71058_G_109,http://purl.org/ontology/mpo/Outro,34
http://purl.org/ontology/mpo/rock_242021_G_57,http://purl.org/ontology/mpo/rock_242021_B_59,http://purl.org/ontology/mpo/Chorus,33
http://purl.org/ontology/mpo/rock_242021_G_229,http://purl.org/ontology/mpo/rock_242021_B_231,http://purl.org/ontology/mpo/Chorus,33
http://purl.org/ontology/mpo/rock_242021_G_111,http://purl.org/ontology/mpo/rock_242021_B_113,http://purl.org/ontology/mpo/Chorus,33
http://purl.org/ontology/mpo/rock_207834_Bmin_9,http://purl.org/ontology/mpo/rock_207834_G_11,http://purl.org/ontology/mpo/Intro,33
http://purl.org/ontology/mpo/alternative_7922_Dmin_20,http://purl.org/ontology/mpo/alternative_7922_Amin_22,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/alternative_7922_Dmin_2,http://purl.org/ontology/mpo/alternative_7922_Amin_4,http://purl.org/ontology/mpo/Intro,33
http://purl.org/ontology/mpo/alternative_225725_Emin_26,http://purl.org/ontology/mpo/alternative_225725_G_28,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/alternative_225725_Emin_192,http://purl.org/ontology/mpo/alternative_225725_G_194,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/alternative_225725_Emin_116,http://purl.org/ontology/mpo/alternative_225725_G_118,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/soul_365063_Emin_132,http://purl.org/ontology/mpo/soul_365063_Emin_134,http://purl.org/ontology/mpo/Chorus,33
http://purl.org/ontology/mpo/metal_602001_D_155,http://purl.org/ontology/mpo/metal_602001_G_157,http://purl.org/ontology/mpo/Solo,33
http://purl.org/ontology/mpo/metal_357608_Gmin_171,http://purl.org/ontology/mpo/metal_357608_Dmin_173,http://purl.org/ontology/mpo/Outro,33
http://purl.org/ontology/mpo/rock_202406_Bb_122,http://purl.org/ontology/mpo/rock_202406_Bb_124,http://purl.org/ontology/mpo/Chorus,33
http://purl.org/ontology/mpo/pop_rock_158951_F_14,http://purl.org/ontology/mpo/pop_rock_158951_D_16,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/pop_rock_158951_F_94,http://purl.org/ontology/mpo/pop_rock_158951_D_96,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/reggae_626906_G_117,http://purl.org/ontology/mpo/reggae_626906_Emin_119,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/reggae_626906_G_58,http://purl.org/ontology/mpo/reggae_626906_Emin_60,http://purl.org/ontology/mpo/Verse,33
http://purl.org/ontology/mpo/soul_606998_Emin_301,http://purl.org/ontology/mpo/soul_606998_D_303,http://purl.org/ontology/mpo/Bridge,32
http://purl.org/ontology/mpo/rock_68556_Bb_23,http://purl.org/ontology/mpo/rock_68556_Bb_25,http://purl.org/ontology/mpo/Intro,32
http://purl.org/ontology/mpo/rock_242021_B_186,http://purl.org/ontology/mpo/rock_242021_B_188,http://purl.org/ontology/mpo/Solo,32
http://purl.org/ontology/mpo/alternative_7922_G_190,http://purl.org/ontology/mpo/alternative_7922_Db_192,http://purl.org/ontology/mpo/Bridge,32
http://purl.org/ontology/mpo/metal_344294_Dmin_148,http://purl.org/ontology/mpo/metal_344294_Cmin_150,http://purl.org/ontology/mpo/Solo,32
http://purl.org/ontology/mpo/soul_616559_Dmin7_84,http://purl.org/ontology/mpo/soul_616559_F_86,http://purl.org/ontology/mpo/Bridge,32
http://purl.org/ontology/mpo/soul_604419_G_88,http://purl.org/ontology/mpo/soul_604419_G_90,http://purl.org/ontology/mpo/Chorus,32
http://purl.org/ontology/mpo/metal_8408_Csmin_198,http://purl.org/ontology/mpo/metal_8408_Bmin_200,http://purl.org/ontology/mpo/Chorus,31
http://purl.org/ontology/mpo/metal_8408_Csus4_18,http://purl.org/ontology/mpo/metal_8408_Fmin_20,http://purl.org/ontology/mpo/Intro,31
http://purl.org/ontology/mpo/metal_8408_Csus4_369,http://purl.org/ontology/mpo/metal_8408_Fmin_371,http://purl.org/ontology/mpo/Chorus,31
http://purl.org/ontology/mpo/rock_598622_Emin_393,http://purl.org/ontology/mpo/rock_598622_Fsmin_395,http://purl.org/ontology/mpo/Instrumental,31
http://purl.org/ontology/mpo/alternative_278558_Amin_43,http://purl.org/ontology/mpo/alternative_278558_G_45,http://purl.org/ontology/mpo/Chorus,31
http://purl.org/ontology/mpo/alternative_278558_Amin_22,http://purl.org/ontology/mpo/alternative_278558_G_24,http://purl.org/ontology/mpo/Chorus,31
http://purl.org/ontology/mpo/soul_640120_F7_9,http://purl.org/ontology/mpo/soul_640120_F_11,http://purl.org/ontology/mpo/Intro,31
http://purl.org/ontology/mpo/jazz_630194_G7_96,http://purl.org/ontology/mpo/jazz_630194_E7_98,http://purl.org/ontology/mpo/Solo,31
http://purl.org/ontology/mpo/pop_21692_F_48,http://purl.org/ontology/mpo/pop_21692_Bb_50,http://purl.org/ontology/mpo/Chorus,31
http://purl.org/ontology/mpo/pop_21692_F_111,http://purl.org/ontology/mpo/pop_21692_Bb_113,http://purl.org/ontology/mpo/Chorus,31
http://purl.org/ontology/mpo/metal_368041_D_54,http://purl.org/ontology/mpo/metal_368041_B_56,http://purl.org/ontology/mpo/Verse,31
http://purl.org/ontology/mpo/soul_622217_Gmin_7,http://purl.org/ontology/mpo/soul_622217_Bb_9,http://purl.org/ontology/mpo/Intro,31
